"imwbcnt","imwbcrm","imdetbs","imdetmr","smegbli","smegbhw","almuslv","gndr","agea","edlvdno","trstplt","lrscale"
8,2,1,2,2,2,2,1,73,4,2,1
8,5,0,5,2,2,1,1,48,13,7,3
7,3,0,0,2,1,2,2,15,3,5,5
2,1,2,5,2,2,4,1,81,NA,5,4
7,6,3,3,2,2,1,2,40,10,6,4
1,2,5,7,2,2,3,1,75,8,5,6
2,0,0,0,2,2,3,1,19,5,6,5
5,5,6,7,2,2,2,2,80,13,3,6
5,3,0,0,2,2,3,1,36,5,5,7
8,4,5,3,2,2,2,1,16,3,7,4
6,1,3,6,2,1,3,2,70,3,2,1
3,2,1,1,2,1,2,2,56,3,6,3
6,8,1,1,2,2,2,1,59,11,8,3
5,2,7,7,2,2,3,1,71,6,1,10
5,1,8,9,2,2,2,2,70,3,2,3
3,1,0,0,2,1,3,1,43,3,4,3
1,1,10,10,2,2,4,1,53,8,2,7
5,2,0,0,2,2,3,1,47,9,4,10
7,4,1,0,2,2,2,2,56,10,6,3
8,2,0,0,2,2,2,1,87,8,8,3
5,1,3,1,2,1,2,1,56,6,5,5
4,9,0,0,2,2,2,2,69,9,6,5
5,5,0,0,2,2,2,1,15,2,5,NA
5,5,0,0,2,2,2,2,34,12,7,4
5,1,0,0,2,2,2,2,24,6,5,3
7,4,1,1,2,2,1,2,69,13,7,8
8,1,1,2,2,2,2,2,67,5,6,7
4,4,2,1,2,2,3,1,39,6,1,3
6,2,5,3,2,1,2,2,68,5,5,9
10,5,8,9,2,1,2,1,66,3,8,4
8,2,0,0,2,2,2,1,47,6,4,4
8,6,0,0,2,2,3,2,45,NA,6,7
5,0,0,1,2,2,3,1,41,6,7,9
4,2,1,0,2,2,3,1,22,10,4,9
5,3,0,0,2,2,1,2,32,10,5,4
1,6,6,4,2,1,3,2,16,3,5,8
4,8,6,6,1,1,4,1,67,9,2,10
5,3,4,3,2,1,3,2,17,3,6,7
8,6,0,1,2,2,1,1,19,7,9,8
5,3,1,1,2,1,2,1,50,13,4,4
7,2,2,1,2,1,3,2,73,10,5,10
7,5,2,3,2,2,2,1,41,12,7,4
7,1,5,3,2,2,3,1,69,12,3,5
7,1,0,0,2,1,2,1,65,13,7,2
3,2,0,0,2,2,3,2,66,3,0,4
8,5,0,0,2,2,1,1,48,6,2,NA
6,3,0,9,2,1,2,2,47,6,7,5
3,2,5,5,2,2,3,2,35,5,6,8
5,3,0,3,2,2,4,1,85,3,6,5
9,3,0,6,2,2,3,2,43,9,8,7
7,5,0,0,2,1,1,1,49,3,5,2
5,2,7,7,2,2,4,1,78,7,4,8
3,0,6,8,2,2,2,2,52,5,3,4
7,3,2,2,2,2,1,1,57,11,5,3
4,2,2,4,2,2,3,2,73,10,4,8
5,7,3,3,2,2,2,2,41,10,7,5
5,2,2,2,2,2,2,2,46,5,8,5
8,2,1,0,2,2,2,1,45,10,7,5
4,4,0,1,2,2,2,1,60,6,4,5
5,1,3,5,2,2,3,1,22,5,6,7
1,0,0,2,2,2,2,2,74,3,5,3
5,0,0,0,2,1,2,2,24,10,4,5
7,1,0,1,2,1,1,2,69,6,5,6
3,1,2,5,2,2,3,2,47,9,1,8
5,10,10,3,2,2,2,1,41,6,1,7
3,0,5,4,2,2,2,2,59,11,4,4
6,5,0,0,2,2,1,2,18,1,8,4
8,4,4,3,2,2,2,1,72,6,7,8
5,3,3,3,2,2,3,2,50,6,7,5
9,6,0,0,2,2,1,1,44,5,4,7
3,0,0,0,2,2,2,1,44,10,3,8
5,0,8,8,2,2,3,1,47,3,1,3
5,2,2,NA,2,2,4,1,69,9,5,10
5,3,1,2,2,2,3,2,40,10,3,7
5,2,5,1,2,1,2,1,64,8,6,3
3,0,8,10,2,1,3,1,26,6,3,9
6,3,1,1,2,2,2,1,53,12,7,3
7,6,0,0,2,2,2,2,48,12,7,3
6,6,8,9,2,1,3,1,59,3,2,7
4,2,0,0,2,1,2,1,59,9,8,8
7,5,2,2,2,2,2,2,50,11,7,6
5,9,0,0,2,2,2,1,60,6,5,5
