country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Bosnia and Herzegovina,2002,NA,37.863502502441406,NA,15.226497650146484,NA,NA,NA,0,NA,NA
Botswana,1960,NA,0,6.864856243133545,13.081541061401367,NA,NA,NA,0,0,NA
Botswana,1961,NA,0,6.8985276222229,13.105990409851074,0.03424450755119324,1.9299999475479126,NA,0,0,NA
Botswana,1962,NA,0,6.9289021492004395,13.13231372833252,0.030840592458844185,1.3600000143051147,NA,0,0,NA
Botswana,1963,NA,0,6.9320759773254395,13.159948348999023,0.0031790663488209248,1.1799999475479126,NA,0,0,NA
Botswana,1964,NA,0,6.940540790557861,13.18807601928711,0.008500682190060616,2.549999952316284,NA,0,0,NA
Botswana,1965,NA,0,6.888062477111816,13.216217994689941,-0.05112532898783684,3.8499999046325684,NA,0,0,NA
Botswana,1966,NA,0,6.851283073425293,13.241336822509766,-0.03611134737730026,4.159999847412109,NA,0,0,0.11999999731779099
Botswana,1967,NA,0,7.010817050933838,13.269265174865723,0.17296457290649414,2.9000000953674316,NA,0,0,0.11999999731779099
Botswana,1968,NA,0,7.086895942687988,13.299421310424805,0.07904750108718872,2.140000104904175,NA,0,0,0.11999999731779099
Botswana,1969,NA,0,7.136661529541016,13.331310272216797,0.05102457478642464,1.6100000143051147,NA,0,0,0.11999999731779099
Botswana,1970,NA,0,7.083919525146484,13.364524841308594,-0.05137506499886513,5.989999771118164,0,0,0,0.25999999046325684
Botswana,1971,NA,0,7.186297416687012,13.398675918579102,0.10780171304941177,4.659999847412109,0,0,0,0.25999999046325684
Botswana,1972,NA,0,7.40860652923584,13.433488845825195,0.24895736575126648,10.760000228881836,0,0,0,0.25999999046325684
Botswana,1973,-1.586023211479187,0,7.5811567306518555,13.468729019165039,0.18833179771900177,9.930000305175781,0.30000001192092896,0,0,0.25999999046325684
Botswana,1974,0,0,7.700578212738037,13.504191398620605,0.12684457004070282,11.0600004196167,4.299999713897705,0,0,0.25999999046325684
Botswana,1975,3.319613456726074,0,7.704756259918213,13.539756774902344,0.0041871145367622375,10.449999809265137,2.9000000953674316,0,0,0.1899999976158142
Botswana,1976,3.3464677333831787,0,7.852004528045654,13.574902534484863,0.15864156186580658,11.319999694824219,7.399999618530273,0,0,0.1899999976158142
