"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
526,"AT","Austria","male",39,1,NA,4,4,4,3,3,2,3
527,"AT","Austria","female",25,1,3,7,9,6,4,4,5,NA
528,"AT","Austria","male",65,3,1,3,3,3,3,3,3,3
533,"AT","Austria","female",15,1,NA,3,3,6,5,3,3,4
534,"AT","Austria","male",44,2,5,3,5,5,2,2,0,0
535,"AT","Austria",NA,84,1,NA,6,6,9,7,7,7,7
536,"AT","Austria","male",60,2,NA,6,3,10,4,4,1,0
537,"AT","Austria",NA,28,2,4,4,5,5,2,2,2,5
538,"AT","Austria","female",58,1,7,5,5,5,5,5,5,5
539,"AT","Austria","male",48,2,NA,4,4,5,3,3,3,3
545,"AT","Austria","male",29,2,3,3,3,4,1,1,1,1
546,"AT","Austria","female",51,2,2,3,3,4,3,3,3,3
547,"AT","Austria","male",53,2,4,3,3,3,3,3,3,2
548,"AT","Austria","male",18,2,2,4,4,4,3,3,3,3
557,"AT","Austria","female",20,2,2,5,7,7,3,4,3,3
558,"AT","Austria","female",59,1,4,6,8,8,5,5,5,NA
559,"AT","Austria","male",69,2,4,5,7,7,3,3,4,4
560,"AT","Austria","female",26,3,NA,0,0,0,0,0,NA,NA
561,"AT","Austria",NA,47,1,6,0,0,0,0,0,0,0
562,"AT","Austria","male",62,1,4,5,5,5,5,5,3,5
563,"AT","Austria","male",55,2,2,6,6,9,6,8,6,8
564,"AT","Austria","female",73,3,2,6,7,9,5,5,1,5
565,"AT","Austria","male",67,1,5,7,8,9,5,5,2,NA
569,"AT","Austria","male",38,2,NA,2,3,4,0,1,0,0
570,"AT","Austria","female",55,2,6,5,7,7,2,2,1,3
571,"AT","Austria","female",30,2,4,2,8,9,2,1,0,0
572,"AT","Austria",NA,78,2,3,2,2,4,2,2,2,1
581,"AT","Austria","male",34,3,NA,0,NA,2,0,0,0,0
582,"AT","Austria",NA,29,3,4,NA,7,7,5,7,NA,NA
583,"AT","Austria",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
584,"AT","Austria","male",35,4,3,0,0,5,0,5,0,5
589,"AT","Austria","male",69,2,1,8,5,5,5,5,7,7
590,"AT","Austria","female",45,1,4,1,1,3,1,1,0,0
591,"AT","Austria","female",54,2,8,3,6,6,1,1,0,0
592,"AT","Austria","female",69,1,6,3,4,6,4,4,4,5
597,"AT","Austria","female",47,1,6,6,7,7,6,6,7,7
598,"AT","Austria","male",23,2,4,2,5,4,2,1,3,6
599,"AT","Austria",NA,50,2,8,3,7,8,3,4,4,6
600,"AT","Austria",NA,62,2,2,6,9,10,7,3,6,8
605,"AT","Austria","female",86,2,2,7,7,8,7,7,6,6
606,"AT","Austria","female",42,3,2,8,7,9,8,7,8,9
607,"AT","Austria","male",37,2,5,6,8,8,5,4,4,4
608,"AT","Austria","female",24,2,2,8,7,10,7,9,9,7
609,"AT","Austria","male",73,2,3,6,8,7,9,7,8,9
613,"AT","Austria","female",40,1,5,3,4,7,3,3,3,4
614,"AT","Austria","female",62,4,4,4,6,6,0,0,0,5
615,"AT","Austria","male",43,2,1,7,8,9,8,8,2,7
616,"AT","Austria","male",54,4,2,4,4,2,2,2,0,4
617,"AT","Austria","male",71,4,1,5,5,5,3,3,2,8
618,"AT","Austria","female",56,3,7,0,3,6,0,0,0,4
625,"AT","Austria","male",48,4,NA,4,7,9,3,3,4,4
626,"AT","Austria",NA,74,1,NA,7,8,9,3,3,5,5
