"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"879","NER","7"," -2.7527280",7.4496069,NA,NA,0.73,0,"  1","  0",5.833333,19.273581
"882","NGA","2","  6.6333809",0.3738668,1.196144,767,0.87,0,"  1","  0",3.084896,16.27459
"883","NGA","3","  2.8186109",0.106749,1.172996,1192,0.87,0.25,"  1","  0",3.084896,14.99199
"884","NGA","4"," -4.0339570",0.0530147,1.664464,1513,0.87,0,"  1","  0",3.084896,20.834499
"885","NGA","5"," -2.3922319",0.0485014,0.5176515,1419,0.87,0,"  1","  0",3.084896,25.498581
"886","NGA","6","  0.3214651",0.0889788,0.3810838,973,0.87,0,"  1","  0",3.084896,32.74733
"887","NGA","7","  1.3122621",0.1545874,0.1669727,995,0.87,0,"  1","  0",3.084896,26.145451
"890","NIC","2"," -0.3850995",0.4276597,0.7687464,2359,0.18,0,"  0","  0",2.999479,15.5151
"891","NIC","3","  3.5534599",0.5230825,0.7758667,2629,0.18,0,"  0","  0",2.999479,18.717859
"892","NIC","4","-10.2612305",2.072741,0.4130862,2459,0.18,1.25,"  0","  0",2.999479,19.59498
"893","NIC","5"," -3.4884400",3.119837,-0.7040213,1839,0.18,0,"  0","  0",2.999479,27.320801
"922","PAK","2","  2.0835941",0.8170575,0.7095931,1029,0.64,0.5,"  0","  0",4.109375,38.421341
"923","PAK","3","  1.4997600",1.055366,0.4925169,934,0.64,0.5,"  0","  0",4.109375,47.181721
"924","PAK","4","  4.5468669",0.8497334,0.667682,1014,0.64,0.25,"  0","  0",4.109375,36.895889
"925","PAK","5","  3.4761939",0.7083635,0.7709815,1129,0.64,0.25,"  0","  0",4.109375,40.945938
"926","PAK","6","  3.1445560",0.6660512,0.6578589,1280,0.64,0,"  0","  0",4.109375,41.296421
"927","PAK","7","  1.9825310",0.4932093,0.6353698,1394,0.64,0.75,"  0","  0",4.109375,42.241749
"938","PER","2","  1.5005080",0.2536955,1.005555,2736,0.59,0,"  0","  0",3.234375,21.374531
"939","PER","3","  0.9286919",0.3551153,0.6025754,3138,0.59,0,"  0","  0",3.234375,24.963619
"940","PER","4","  1.3649631",0.3383372,0.3921387,2796,0.59,0.25,"  0","  0",3.234375,25.004709
"941","PER","5"," -4.2680001",0.4830249,-0.0572213,2977,0.59,0.75,"  0","  0",3.234375,20.788429
"942","PER","6"," -3.0535979",0.4023583,-1.4306509,2838,0.59,3.25,"  0","  0",3.234375,23.41573
"943","PER","7"," -0.7643446",0.6353229,0.3625337,2188,0.59,2.25,"  0","  0",3.234375,20.19389
"946","PHL","2","  2.7988219",0.3990127,1.018815,1403,0.74,1.5,"  0","  1",2.967708,23.94558
"947","PHL","3","  3.0909309",0.3022969,1.010471,1587,0.74,0.75,"  0","  1",2.967708,22.690639
"948","PHL","4","  2.3345039",0.2555976,0.9724869,1780,0.74,0.25,"  0","  1",2.967708,19.894501
"949","PHL","5"," -4.9350739",0.3846004,0.8170419,1915,0.74,2.25,"  0","  1",2.967708,23.766821
"950","PHL","6","  2.9242330",0.6141661,2.0569351,1535,0.74,3,"  0","  1",2.967708,28.80117
"951","PHL","7"," -0.9085332",0.6760107,3.132061,1763,0.74,0,"  0","  1",2.967708,28.72826
"994","PRY","2","  3.1396091",0.7461522,1.1593879,1394,0.14,0,"  0","  0",4.396875,15.61434
"995","PRY","3","  4.8559918",0.6332555,1.135205,1615,0.14,0,"  0","  0",4.396875,18.76235
"996","PRY","4","  7.5062189",0.5339858,1.053259,2057,0.14,0,"  0","  0",4.396875,20.28738
"997","PRY","5"," -3.1757741",0.6741998,1.017431,2414,0.14,0,"  0","  0",4.396875,23.131029
"998","PRY","6","  0.9001451",0.7420832,1.5513591,1998,0.14,0,"  0","  0",4.396875,21.702761
"999","PRY","7"," -0.1097943",0.7861565,3.2179461,2128,0.14,0.25,"  0","  0",4.396875,17.944019
"1042","SEN","2"," -0.3642866",3.3599451,1.13579,1146,0.72,0,"  1","  0",4.747396,13.39819
"1043","SEN","3","  1.6893280",3.2784719,0.9618749,1062,0.72,0,"  1","  0",4.747396,16.34655
"1044","SEN","4"," -3.1990380",3.8971331,1.134356,1110,0.72,0,"  1","  0",4.747396,23.89983
"1045","SEN","5","  1.1351970",3.9895461,0.6430827,1203,0.72,0,"  1","  0",4.747396,30.14307
"1046","SEN","6","  0.4526881",6.1975522,NA,1155,0.72,0,"  1","  0",4.747396,28.338579
"1047","SEN","7"," -1.7337350",5.472322,NA,1145,0.72,0,"  1","  0",4.747396,24.69278
"1066","SLE","2","  1.7739490",1.479864,1.0750951,1435,0.77,0.25,"  1","  0",5.416667,13.13875
"1067","SLE","3"," -0.9935253",0.7066458,0.5774533,1259,0.77,0,"  1","  0",5.416667,14.9893
"1068","SLE","4","  1.7089940",1.427289,0.3218707,1065,0.77,0,"  1","  0",5.416667,17.5597
"1069","SLE","5"," -3.3066990",2.0563409,-0.0540466,1074,0.77,0,"  1","  0",5.416667,21.30386
